日付,"日本国内
累計罹患者数","日本国内
新規罹患者数",累計死者数,PCR検査数,入院中・療養中等の数,累計重症者数,累計退院・療養解除の数
2020/10/31,"101,489",876,"1,770","20,562","6,246",161,"91,877"
2020/11/01,"102,102",613,"1,776","14,700","6,474",160,"92,300"
2020/11/02,"102,589",487,"1,788","23,598","6,469",163,"92,760"
2020/11/03,"103,454",865,"1,795","17,580","6,634",163,"93,192"
2020/11/04,"104,078",624,"1,799","27,392","6,707",165,"94,003"
2020/11/05,"105,126","1,048","1,808","29,563","7,075",183,"94,637"
2020/11/06,"106,271","1,145","1,812","28,276","7,501",189,"95,330"
2020/11/07,"107,602","1,331","1,817","22,847","7,904",194,"96,057"
2020/11/08,"108,552",950,"1,824","11,037","8,346",196,"96,511"
2020/11/09,"109,333",781,"1,836","25,025","8,702",204,"97,114"
2020/11/10,"110,617","1,284","1,851","27,180","9,048",208,"97,932"
2020/11/11,"112,163","1,546","1,863","27,326","9,676",204,"98,819"
2020/11/12,"113,823","1,660","1,873","25,192","10,243",226,"99,824"
2020/11/13,"115,529","1,706","1,885","10,923",231,"100,789",
2020/11/14,"117,267","1,738","1,888","11,759",234,"101,632",
2020/11/15,"118,708","1,441","1,895",243,,,
